DEPTH,GR7-3,GR7-8,GRA-53
1094.98,17.94,,
1095.48,19.09,,
1095.98,16.86,,
1096.48,19.52,,
1096.98,19.25,,
1097.48,19.80,,
1097.98,17.75,,
1098.48,18.86,,
1098.98,18.86,,
1099.48,20.56,,
1099.98,20.53,,
1100.48,20.81,,
1100.98,18.88,,
1101.48,19.25,,
1101.98,17.88,,
1102.48,18.67,,
1102.98,17.47,,
1103.48,19.14,,
1103.98,18.02,,
1104.48,19.73,,
1104.98,21.16,,
1105.48,23.16,,
1105.98,21.41,,
1106.48,19.13,,
1106.98,16.33,,
1107.48,17.56,,
1107.98,18.17,,
1108.48,20.45,,
1108.98,21.56,,
1109.48,21.50,,
1109.98,20.34,,
1110.48,16.58,,
1110.98,16.02,,
1111.48,16.03,,
1111.98,15.73,,
1112.48,15.50,,
1112.98,16.69,,
1113.48,17.02,,
1113.98,17.00,,
1114.48,16.36,,
1114.98,18.31,,
1115.48,18.84,,
1115.98,19.70,,
1116.48,19.42,,
1116.98,20.00,,
1117.48,17.66,,
1117.98,17.08,,
1118.48,15.69,,
1118.98,18.06,,
1119.48,19.00,,
1119.98,19.27,,
1120.48,17.52,,
1120.98,16.03,,
1121.48,16.91,,
1121.98,17.16,,
1122.48,16.89,,
1122.98,15.72,,
1123.48,17.19,,
1123.98,20.14,,
1124.48,24.52,,
1124.98,25.08,,
1125.48,24.72,,
1125.98,21.78,,
1126.48,23.78,,
1126.98,25.80,,
1127.48,24.92,,
1127.98,23.16,,
1128.48,20.80,,
1128.98,23.63,,
1129.48,23.95,,
1129.98,25.17,,
1130.48,23.80,,
1130.98,23.84,,
1131.48,22.66,,
1131.98,21.52,,
1132.48,22.02,,
1132.98,24.88,,
1133.48,27.44,,
1133.98,28.05,,
1134.48,26.64,,
1134.98,26.11,,
1135.48,23.28,,
1135.98,21.34,,
1136.48,19.97,,
1136.98,21.66,,
1137.48,21.59,,
1137.98,21.80,,
1138.48,21.50,,
1138.98,23.20,,
1139.48,22.91,,
1139.98,24.27,,
1140.48,22.78,,
1140.98,24.20,,
1141.48,22.91,,
1141.98,23.55,,
1142.48,23.59,,
1142.98,23.80,,
1143.48,23.45,,
1143.98,22.56,,
1144.48,24.30,,
1144.98,24.89,,
1145.48,25.73,,
1145.98,23.95,,
1146.48,24.28,,
1146.98,25.50,,
1147.48,26.42,,
1147.98,26.73,,
1148.48,26.13,,
1148.98,26.70,,
1149.48,25.23,,
1149.98,27.80,,
1150.48,25.75,,
1150.98,24.31,,
1151.48,19.73,,
1151.98,21.72,,
1152.48,22.86,,
1152.98,24.39,,
1153.48,25.30,,
1153.97,27.67,,
1154.47,27.59,,
1154.97,25.84,,
1155.47,23.50,,
1155.97,22.05,,
1156.47,21.77,,
1156.97,22.33,,
1157.47,24.27,,
1157.97,24.30,,
1158.47,24.36,,
1158.97,25.67,,
1159.47,24.28,,
1159.97,25.91,,
1160.47,25.22,,
1160.97,28.00,,
1161.47,25.72,,
1161.97,24.56,,
1162.47,23.69,,
1162.97,25.08,,
1163.47,26.14,,
